id,key,type,name,state,county_fips,geometry
483,,county,Dougherty County,GA,13095,
484,,county,Douglas County,GA,13097,
485,,county,Early County,GA,13099,
486,,county,Echols County,GA,13101,
487,,county,Effingham County,GA,13103,
488,,county,Elbert County,GA,13105,
489,,county,Emanuel County,GA,13107,
490,,county,Evans County,GA,13109,
491,,county,Fannin County,GA,13111,
492,,county,Fayette County,GA,13113,
493,,county,Floyd County,GA,13115,
494,,county,Forsyth County,GA,13117,
495,,county,Franklin County,GA,13119,
496,,county,Fulton County,GA,13121,
497,,county,Gilmer County,GA,13123,
498,,county,Glascock County,GA,13125,
499,,county,Glynn County,GA,13127,
500,,county,Gordon County,GA,13129,
501,,county,Grady County,GA,13131,
502,,county,Greene County,GA,13133,
503,,county,Gwinnett County,GA,13135,
504,,county,Habersham County,GA,13137,
505,,county,Hall County,GA,13139,
506,,county,Hancock County,GA,13141,
507,,county,Haralson County,GA,13143,
508,,county,Harris County,GA,13145,
509,,county,Hart County,GA,13147,
510,,county,Heard County,GA,13149,
511,,county,Henry County,GA,13151,
512,,county,Houston County,GA,13153,
513,,county,Irwin County,GA,13155,
514,,county,Jackson County,GA,13157,
515,,county,Jasper County,GA,13159,
516,,county,Jeff Davis County,GA,13161,
517,,county,Jefferson County,GA,13163,
518,,county,Jenkins County,GA,13165,
519,,county,Johnson County,GA,13167,
520,,county,Jones County,GA,13169,
521,,county,Lamar County,GA,13171,
522,,county,Lanier County,GA,13173,
523,,county,Laurens County,GA,13175,
524,,county,Lee County,GA,13177,
525,,county,Liberty County,GA,13179,
526,,county,Lincoln County,GA,13181,
527,,county,Long County,GA,13183,
528,,county,Lowndes County,GA,13185,
529,,county,Lumpkin County,GA,13187,
530,,county,McDuffie County,GA,13189,
531,,county,McIntosh County,GA,13191,
532,,county,Macon County,GA,13193,
533,,county,Madison County,GA,13195,
534,,county,Marion County,GA,13197,
535,,county,Meriwether County,GA,13199,
536,,county,Miller County,GA,13201,
537,,county,Mitchell County,GA,13205,
538,,county,Monroe County,GA,13207,
539,,county,Montgomery County,GA,13209,
540,,county,Morgan County,GA,13211,
541,,county,Murray County,GA,13213,
542,,county,Muscogee County,GA,13215,
543,,county,Newton County,GA,13217,
544,,county,Oconee County,GA,13219,
545,,county,Oglethorpe County,GA,13221,
546,,county,Paulding County,GA,13223,
547,,county,Peach County,GA,13225,
548,,county,Pickens County,GA,13227,
549,,county,Pierce County,GA,13229,
550,,county,Pike County,GA,13231,
551,,county,Polk County,GA,13233,
552,,county,Pulaski County,GA,13235,
553,,county,Putnam County,GA,13237,
554,,county,Quitman County,GA,13239,
555,,county,Rabun County,GA,13241,
556,,county,Randolph County,GA,13243,
557,,county,Richmond County,GA,13245,
558,,county,Rockdale County,GA,13247,
559,,county,Schley County,GA,13249,
560,,county,Screven County,GA,13251,
561,,county,Seminole County,GA,13253,
562,,county,Spalding County,GA,13255,
563,,county,Stephens County,GA,13257,
564,,county,Stewart County,GA,13259,
565,,county,Sumter County,GA,13261,
566,,county,Talbot County,GA,13263,
567,,county,Taliaferro County,GA,13265,
568,,county,Tattnall County,GA,13267,
569,,county,Taylor County,GA,13269,
570,,county,Telfair County,GA,13271,
571,,county,Terrell County,GA,13273,
572,,county,Thomas County,GA,13275,
573,,county,Tift County,GA,13277,
574,,county,Toombs County,GA,13279,
575,,county,Towns County,GA,13281,
576,,county,Treutlen County,GA,13283,
577,,county,Troup County,GA,13285,
578,,county,Turner County,GA,13287,
579,,county,Twiggs County,GA,13289,
580,,county,Union County,GA,13291,
581,,county,Upson County,GA,13293,
582,,county,Walker County,GA,13295,
583,,county,Walton County,GA,13297,
584,,county,Ware County,GA,13299,
585,,county,Warren County,GA,13301,
586,,county,Washington County,GA,13303,
587,,county,Wayne County,GA,13305,
588,,county,Webster County,GA,13307,
589,,county,Wheeler County,GA,13309,
590,,county,White County,GA,13311,
591,,county,Whitfield County,GA,13313,
592,,county,Wilcox County,GA,13315,
593,,county,Wilkes County,GA,13317,
594,,county,Wilkinson County,GA,13319,
595,,county,Worth County,GA,13321,
596,,county,Hawaii County,HI,15001,
597,,county,Honolulu County,HI,15003,
598,,county,Kalawao County,HI,15005,
599,,county,Kauai County,HI,15007,
600,,county,Maui County,HI,15009,
601,,county,Ada County,ID,16001,
602,,county,Adams County,ID,16003,
603,,county,Bannock County,ID,16005,
604,,county,Bear Lake County,ID,16007,
605,,county,Benewah County,ID,16009,
606,,county,Bingham County,ID,16011,
607,,county,Blaine County,ID,16013,
608,,county,Boise County,ID,16015,
609,,county,Bonner County,ID,16017,
610,,county,Bonneville County,ID,16019,
611,,county,Boundary County,ID,16021,
612,,county,Butte County,ID,16023,
613,,county,Camas County,ID,16025,
614,,county,Canyon County,ID,16027,
615,,county,Caribou County,ID,16029,
616,,county,Cassia County,ID,16031,
617,,county,Clark County,ID,16033,
618,,county,Clearwater County,ID,16035,
619,,county,Custer County,ID,16037,
620,,county,Elmore County,ID,16039,
621,,county,Franklin County,ID,16041,
622,,county,Fremont County,ID,16043,
623,,county,Gem County,ID,16045,
624,,county,Gooding County,ID,16047,
625,,county,Idaho County,ID,16049,
626,,county,Jefferson County,ID,16051,
627,,county,Jerome County,ID,16053,
628,,county,Kootenai County,ID,16055,
629,,county,Latah County,ID,16057,
630,,county,Lemhi County,ID,16059,
