zipcode,cbsasub
03269,NCNTY33001N33001
03273,NCNTY33013N33013
03275,NCNTY33013N33013
03276,NCNTY33013N33013
03278,NCNTY33013N33013
03279,NCNTY33009N33009
03280,NCNTY33019N33019
03281,METRO31700MM4760
03282,NCNTY33009N33009
03284,NCNTY33019N33019
03285,NCNTY33009N33009
03287,NCNTY33013N33013
03290,METRO14460MM4760
03291,METRO14460MM4760
03293,NCNTY33009N33009
03301,NCNTY33013N33013
03303,NCNTY33013N33013
03304,NCNTY33013N33013
03307,NCNTY33013N33013
03431,NCNTY33005N33005
03440,METRO31700N33011
03441,NCNTY33005N33005
03442,METRO31700N33011
03443,NCNTY33005N33005
03444,NCNTY33005N33005
03445,NCNTY33005N33005
03446,NCNTY33005N33005
03447,NCNTY33005N33005
03448,NCNTY33005N33005
03449,METRO31700N33011
03450,NCNTY33005N33005
03451,NCNTY33005N33005
03452,NCNTY33005N33005
03455,NCNTY33005N33005
03456,NCNTY33005N33005
03457,NCNTY33005N33005
03458,METRO31700N33011
03461,NCNTY33005N33005
03462,NCNTY33005N33005
03464,NCNTY33005N33005
03465,NCNTY33005N33005
03466,NCNTY33005N33005
03467,NCNTY33005N33005
03470,NCNTY33005N33005
03561,NCNTY33009N33009
03570,NCNTY33007N33007
03574,NCNTY33009N33009
03575,NCNTY33007N33007
03576,NCNTY33007N33007
03579,NCNTY23017N23017
03580,NCNTY33009N33009
03581,NCNTY33007N33007
03582,NCNTY33007N33007
03583,NCNTY33007N33007
03584,NCNTY33007N33007
03585,NCNTY33009N33009
03586,NCNTY33009N33009
03588,NCNTY33007N33007
03590,NCNTY33007N33007
03592,NCNTY33007N33007
03593,NCNTY33007N33007
03595,NCNTY33007N33007
03597,NCNTY33007N33007
03598,NCNTY33007N33007
03601,NCNTY33019N33019
03602,NCNTY33005N33005
03603,NCNTY33019N33019
03604,NCNTY33005N33005
03605,NCNTY33019N33019
03607,NCNTY33019N33019
03608,NCNTY33005N33005
03609,NCNTY33005N33005
03740,NCNTY33009N33009
03741,NCNTY33009N33009
03743,NCNTY33019N33019
03745,NCNTY33019N33019
03748,NCNTY33009N33009
03750,NCNTY33009N33009
03751,NCNTY33019N33019
03752,NCNTY33019N33019
03753,NCNTY33019N33019
03755,NCNTY33009N33009
03765,NCNTY33009N33009
03766,NCNTY33009N33009
03768,NCNTY33009N33009
03770,NCNTY33019N33019
03771,NCNTY33009N33009
03773,NCNTY33019N33019
03774,NCNTY33009N33009
03777,NCNTY33009N33009
03779,NCNTY33009N33009
03780,NCNTY33009N33009
03781,NCNTY33019N33019
03782,NCNTY33019N33019
03784,NCNTY33009N33009
03785,NCNTY33009N33009
03801,METRO14460MM6450
03809,NCNTY33001N33001
03810,NCNTY33001N33001
03811,METRO14460MM4160
03812,NCNTY33003N33003
03813,NCNTY33003N33003
03814,NCNTY33003N33003
03816,NCNTY33003N33003
03817,NCNTY33003N33003
03818,NCNTY33003N33003
03819,METRO14460MM4160
03820,METRO14460MM6450
03823,METRO14460MM6450
03824,METRO14460MM6450
03825,METRO14460MM6450
03826,METRO14460MM4160
03827,METRO14460MM6450
03830,NCNTY33003N33003
03832,NCNTY33003N33003
03833,METRO14460MM6450
03835,METRO14460MM6450
03836,NCNTY33003N33003
