zip,geography_id,predominant
01748,4102,0
01748,4104,1
01748,5523,0
01749,4102,0
01749,4104,1
01749,4146,0
01749,5523,0
01752,4102,0
01752,4104,1
01752,4146,0
01752,5523,0
01754,4102,1
01754,4146,0
01754,5523,0
01754,5526,0
01756,4104,1
01756,5523,0
01756,5525,0
01757,4102,0
01757,4104,1
01757,5523,0
01760,4102,1
01760,4154,0
01760,5523,0
01760,5526,0
01770,4102,1
01770,5523,0
01772,4102,0
01772,4104,1
01772,5523,0
01773,4102,1
01773,4143,0
01773,5523,0
01773,5526,0
01775,4102,0
01775,4104,1
01775,4146,0
01775,4147,0
01775,5523,0
01775,5526,0
01776,4102,0
01776,4104,1
01776,4143,0
01776,4146,0
01776,5523,0
01776,5526,0
01778,4102,1
01778,5523,0
01778,5526,0
01784,4102,1
01801,4102,1
01801,4110,0
01801,5526,0
01803,4102,0
01803,4104,1
01803,4110,0
01803,5526,0
01805,4102,1
01807,4102,1
01810,4104,1
01810,4110,0
01810,5523,0
01810,5526,0
01812,4104,1
01813,4102,1
01815,4102,1
01821,4102,0
01821,4104,1
01821,4110,0
01821,5526,0
01822,4104,1
01824,4102,0
01824,4104,1
01824,5526,0
01826,4104,1
01826,5523,0
01826,5526,0
01827,4104,1
01827,5526,0
01830,4104,1
01830,5526,0
01831,4104,1
01832,4104,1
01832,5526,0
01833,4104,1
01833,5290,0
01833,5526,0
01834,4104,1
01834,5291,0
01834,5526,0
01835,4104,1
01835,5526,0
01840,4104,1
01840,5523,0
01841,4104,1
01841,5523,0
01842,4104,1
